"Логин";"Компьютер";"IP-адрес";"Открыта";"Активность";"Используется";"Приложение";"Уровень доступа";"Тип входа";"Тип лицензии";"Тип сервиса";"Устройство";"ОС"
almaz-antey\a.zhivotenko;10.250.0.75;10.250.0.75;03.12.2020 14:05:59;04.12.2020 16:03:05;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.zhivotenko;10.250.0.101;10.250.0.101;10.12.2020 11:45:29;10.12.2020 11:47:08;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.zhivotenko;10.250.0.103;10.250.0.103;10.12.2020 11:56:19;10.12.2020 11:56:26;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.zhivotenko;10.250.0.83;10.250.0.83;04.12.2020 16:03:19;04.12.2020 16:03:19;да;Tessa Client - уведомления;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.zhivotenko;10.250.0.94;10.250.0.94;08.12.2020 16:40:39;08.12.2020 17:56:56;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.zhivotenko;10.250.0.99;10.250.0.99;10.12.2020 12:15:16;10.12.2020 14:26:46;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.zhivotenko;10.250.0.81;10.250.0.81;02.12.2020 09:37:43;02.12.2020 16:02:50;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.zhivotenko;10.250.0.63;10.250.0.63;10.12.2020 09:29:05;10.12.2020 09:29:05;да;Tessa Client - уведомления;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.zhivotenko;10.250.0.13;10.250.0.13;09.12.2020 23:48:58;10.12.2020 00:48:27;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.zhivotenko;10.250.0.42;10.250.0.42;08.12.2020 09:05:48;08.12.2020 16:29:16;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\olgayu;RUA14600DV-COMP.almaz-antey.org;10.250.10.113;07.12.2020 11:57:50;07.12.2020 17:47:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.zhuravkova;16641-KRAF.almaz-antey.org;10.250.12.52;10.12.2020 11:08:44;10.12.2020 14:31:02;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.zhuravkova;16641-KRAF.almaz-antey.org;10.250.12.52;07.12.2020 14:06:13;07.12.2020 14:53:04;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\irizh;rua33605nr-comp.almaz-antey.org;10.250.18.37;10.12.2020 12:54:35;10.12.2020 14:29:40;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\ivana;RUA243038D-COMP.almaz-antey.org;10.250.16.35;10.12.2020 09:04:23;10.12.2020 14:30:05;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\tatyanai;czc4312m22-comp.almaz-antey.org;10.250.10.72;10.12.2020 09:17:06;10.12.2020 14:27:15;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\alexin;RUA21802RS-COMP.almaz-antey.org;10.250.11.113;10.12.2020 09:38:58;10.12.2020 10:56:47;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.isaeva;17618-KRAF.almaz-antey.org;10.250.14.40;10.12.2020 08:45:31;10.12.2020 14:29:37;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\t.kazakova;P1108150239-170.almaz-antey.org;10.250.15.140;10.12.2020 08:52:40;10.12.2020 14:27:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\p.kazmin;16392-KRAF.almaz-antey.org;10.250.9.73;10.12.2020 14:14:57;10.12.2020 14:30:04;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\alexka;czc4312m7m-comp.almaz-antey.org;10.250.64.79;08.12.2020 12:11:29;08.12.2020 16:39:31;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\n.kalach;RUA2430394-COMP.almaz-antey.org;10.250.64.30;09.12.2020 10:25:17;09.12.2020 17:56:06;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\n.kalach;RUA2430394-COMP.almaz-antey.org;10.250.64.30;10.12.2020 08:59:40;10.12.2020 14:29:55;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\alexeyka;10.250.0.90;10.250.0.90;10.12.2020 11:05:56;10.12.2020 14:29:58;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\v.kirillov;18864-KRAF.almaz-antey.org;10.250.16.124;04.12.2020 09:55:17;04.12.2020 12:01:45;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\v.kirillov;18864-KRAF.almaz-antey.org;10.250.16.124;08.12.2020 09:54:35;08.12.2020 13:37:47;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\olgak;15525-KRAF.almaz-antey.org;10.250.12.46;10.12.2020 08:22:31;10.12.2020 14:27:52;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\lubovkl;16911-KRAF.almaz-antey.org;10.250.18.9;10.12.2020 12:57:35;10.12.2020 14:27:39;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\alexkoval;czc422280z-comp.almaz-antey.org;10.250.12.41;10.12.2020 09:36:26;10.12.2020 14:28:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\kolkonst;czc4222810-comp.almaz-antey.org;10.250.14.91;07.12.2020 08:51:26;07.12.2020 17:55:52;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\yu.kolcun;17204-KRAF.almaz-antey.org;10.250.12.85;10.12.2020 10:33:24;10.12.2020 14:27:40;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\nadyat;10.250.13.70;10.250.13.70;09.12.2020 10:35:10;09.12.2020 16:40:21;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\irinako;RUA243038Y-COMP.almaz-antey.org;10.250.12.55;10.12.2020 09:37:10;10.12.2020 14:27:49;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\vladko;rua2510b4k-comp.almaz-antey.org;10.250.12.64;10.12.2020 10:48:36;10.12.2020 14:30:19;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\a.konovalova;RUA24702CS-COMP.almaz-antey.org;10.250.64.56;10.12.2020 14:15:04;10.12.2020 14:30:07;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.konovalova;RUA24702CS-COMP.almaz-antey.org;10.250.64.56;08.12.2020 09:27:13;08.12.2020 16:39:31;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\sergkor;RUA24702DN-COMP.almaz-antey.org;10.250.10.169;10.12.2020 08:42:53;10.12.2020 14:28:36;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.korshunov;NULL-KRAF.almaz-antey.org;10.250.10.54;10.12.2020 08:22:04;10.12.2020 14:29:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\mskoryakina;10.250.13.70;10.250.13.70;08.12.2020 08:18:28;08.12.2020 16:50:01;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\mskoryakina;10.250.13.70;10.250.13.70;10.12.2020 13:39:04;10.12.2020 14:11:12;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.kocharov;17951-KRAF.almaz-antey.org;10.250.17.226;04.12.2020 08:55:16;04.12.2020 14:50:23;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\e.kochetkova;RUA34506NY-COMP.almaz-antey.org;10.250.16.23;10.12.2020 08:49:56;10.12.2020 14:26:27;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\a.krylosova;RUA13308FC-COMP.almaz-antey.org;10.250.16.79;10.12.2020 09:24:36;10.12.2020 14:30:48;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andreyk;RUA214028M-COMP.almaz-antey.org;10.250.10.66;10.12.2020 08:03:54;10.12.2020 14:27:47;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.kuznetsov;RUA32202KN-COMP.almaz-antey.org;10.250.64.69;10.12.2020 09:46:23;10.12.2020 14:21:58;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.kuznetsov;RUA32202KN-COMP.almaz-antey.org;10.250.64.69;08.12.2020 09:32:37;08.12.2020 16:37:40;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\lubku;CZC43215LS-COMP.almaz-antey.org;10.250.16.80;10.12.2020 08:46:46;10.12.2020 14:16:52;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\s.kulakov;czc43116pf-comp.almaz-antey.org;10.250.17.137;10.12.2020 09:35:58;10.12.2020 14:27:25;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\k.kulakova;18861-KRAF.almaz-antey.org;10.250.17.65;10.12.2020 12:49:12;10.12.2020 14:29:15;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\k.kulakova;18861-KRAF.almaz-antey.org;10.250.17.65;09.12.2020 16:28:23;09.12.2020 17:53:26;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\alexkun;rua21802qt-comp.almaz-antey.org;10.250.15.131;10.12.2020 08:32:57;10.12.2020 12:56:02;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\v.kuryatnikov;16632-KRAF.almaz-antey.org;10.250.15.105;10.12.2020 13:31:07;10.12.2020 14:31:10;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\eakutuzova;19371-KRAF.almaz-antey.org;10.250.15.198;03.12.2020 08:56:15;03.12.2020 14:01:29;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\a.latypova;10.250.0.63;10.250.0.63;07.12.2020 11:00:26;07.12.2020 18:42:00;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\a.latypova;16652-KRAF.almaz-antey.org;10.250.11.50;02.12.2020 09:22:26;02.12.2020 17:59:29;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.latypova;16652-KRAF.almaz-antey.org;10.250.11.50;04.12.2020 08:52:48;04.12.2020 16:12:09;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\a.latypova;10.250.0.70;10.250.0.70;10.12.2020 09:47:10;10.12.2020 14:28:07;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\a.latypova;16652-KRAF.almaz-antey.org;10.250.11.50;03.12.2020 10:36:12;03.12.2020 17:31:26;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\a.latypova;10.250.0.52;10.250.0.52;08.12.2020 09:30:03;08.12.2020 18:11:01;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.levin;10.250.0.21;10.250.0.21;03.12.2020 08:40:58;03.12.2020 09:51:24;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\olgazi;RUA328057C-COMP.almaz-antey.org;10.250.11.212;10.12.2020 09:39:55;10.12.2020 14:27:02;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\m.ivanova;RUA328057B-COMP.almaz-antey.org;10.250.15.197;10.12.2020 11:52:03;10.12.2020 12:05:53;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\oslitvak;15545-kraf.almaz-antey.org;10.250.9.11;10.12.2020 11:51:05;10.12.2020 12:07:17;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\v.loginova;10.250.13.67;10.250.13.67;10.12.2020 10:29:02;10.12.2020 14:29:11;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\alexlo;CZC43116NC-COMP.almaz-antey.org;10.250.18.101;10.12.2020 08:54:59;10.12.2020 14:31:01;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\alexlo;CZC43116NC-COMP.almaz-antey.org;10.250.18.101;09.12.2020 09:26:07;09.12.2020 17:46:14;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.loskutov;16438-KRAF.almaz-antey.org;10.250.17.201;10.12.2020 10:52:09;10.12.2020 14:29:39;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\natamag;czc43214jg-comp.almaz-antey.org;10.250.10.36;10.12.2020 09:25:08;10.12.2020 14:30:51;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\irinare;10.250.13.74;10.250.13.74;10.12.2020 12:02:24;10.12.2020 14:27:31;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\e.malikova;RUA328056K-COMP.almaz-antey.org;10.250.11.209;09.12.2020 10:15:03;09.12.2020 16:53:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\e.malikova;RUA328056K-COMP.almaz-antey.org;10.250.11.209;10.12.2020 09:08:02;10.12.2020 14:29:37;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\denism;16600-KRAF.almaz-antey.org;10.250.15.37;07.12.2020 11:06:34;07.12.2020 17:36:44;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\denism;16600-KRAF.almaz-antey.org;10.250.15.37;10.12.2020 11:07:20;10.12.2020 14:28:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\s.marshuk;16923-KRAF.almaz-antey.org;10.250.14.198;07.12.2020 12:20:43;07.12.2020 17:40:38;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\vasilma;10.250.0.116;10.250.0.116;02.12.2020 14:56:32;02.12.2020 15:58:17;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\vladma;RUA104095B-COMP.almaz-antey.org;10.250.10.73;10.12.2020 08:10:36;10.12.2020 08:12:44;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\vladma;RUA104095B-COMP.almaz-antey.org;10.250.10.73;08.12.2020 08:08:47;08.12.2020 08:10:06;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\vladma;RUA104095B-COMP.almaz-antey.org;10.250.10.73;08.12.2020 08:06:15;08.12.2020 08:08:08;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\sergeymi;110716-39KRAF.almaz-antey.org;10.250.8.38;10.12.2020 11:29:13;10.12.2020 14:29:17;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\sergeymi;110716-39KRAF.almaz-antey.org;10.250.8.38;07.12.2020 12:05:45;07.12.2020 12:06:10;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.minosyants;240316-54KRAF.almaz-antey.org;10.250.16.65;08.12.2020 12:26:58;09.12.2020 02:56:56;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.minosyants;240316-54KRAF.almaz-antey.org;10.250.16.65;07.12.2020 15:54:47;08.12.2020 02:59:31;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\natalyami;10.250.0.39;10.250.0.39;03.12.2020 11:17:07;03.12.2020 13:12:12;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\a.mitina;110716-44kraf.almaz-antey.org;10.250.9.65;10.12.2020 08:16:50;10.12.2020 14:30:07;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\avmikhailov;RUA14000MH-COMP.almaz-antey.org;10.250.9.46;03.12.2020 11:35:37;03.12.2020 16:37:55;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\avmikhailov;RUA14000MH-COMP.almaz-antey.org;10.250.9.46;10.12.2020 10:21:18;10.12.2020 10:52:08;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\avmikhailov;RUA14000MH-COMP.almaz-antey.org;10.250.9.46;07.12.2020 09:16:48;07.12.2020 17:30:52;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\avmikhailov;RUA14000MH-COMP.almaz-antey.org;10.250.9.46;09.12.2020 08:51:35;09.12.2020 11:37:02;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\n.movchan;10.250.13.117;10.250.13.117;10.12.2020 14:13:08;10.12.2020 14:18:32;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\p.mokhova;17684-KRAF.almaz-antey.org;10.250.16.146;10.12.2020 14:19:10;10.12.2020 14:30:29;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\s.muhin;18875-KRAF.almaz-antey.org;10.250.10.154;10.12.2020 12:25:24;10.12.2020 14:07:05;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\dmitrymy;Mukhortov-DP.almaz-antey.org;10.250.17.37;09.12.2020 14:12:49;10.12.2020 14:29:18;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\msnazarchyk;10.250.0.50;10.250.0.50;10.12.2020 09:04:20;10.12.2020 14:30:18;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\sergeyne;10.250.0.12;10.250.0.12;10.12.2020 10:49:24;10.12.2020 13:04:29;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\a.nikolaev;16637-KRAF.almaz-antey.org;10.250.76.98;10.12.2020 12:40:58;10.12.2020 14:27:03;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\elenano;RUA2140295-COMP.almaz-antey.org;10.250.15.137;10.12.2020 10:56:09;10.12.2020 11:34:34;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\alenab;10.250.0.89;10.250.0.89;02.12.2020 10:25:01;02.12.2020 15:59:54;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\julyus;RUA34506PC-COMP.almaz-antey.org;10.250.10.56;10.12.2020 09:16:46;10.12.2020 12:27:05;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
