"Рег. номер";"Дата рег.";"Проект. номер";"Дата создания";"Состояние";"Куратор";"Структ. подразделение";"ЦФО";"Вид платежа";"Сумма в валюте";"Валюта";"НДС%";"Получатель";"Банк получателя";"Основание для платежа";"Назначение платежа";"Банк отправителя";"ID закупки";"Аванс/Расчет";"Проект ДЭ";"Проект";"№ п/п";"Дата платежа"
05/742/СЗО;06.08.2020;840;04.08.2020;Исполнен;Черевань Е. Э. (ДВЭД);Департамент внешнеэкономической деятельности;05;Платежи по ВТС;"167 000,00";RUB;Без НДС;Носов Константин Викторович;"АО ""ТИНЬКОФФ БАНК""";изготовление рекламной продукции (подарочные модели ПВН Концерна) по счету № 6 от 04.08.2020;оплата изготовления моделей ПВН по счету № 6 от 04.08.2020;БАНК ВТБ (ПАО);;-;нет проекта;Проекты не выясненные;6208;06.08.2020
05/749/СЗО;06.08.2020;839;04.08.2020;Исполнен;Черевань Е. Э. (ДВЭД);Департамент внешнеэкономической деятельности;05;Платежи по ВТС;"4 727 058,00";RUB;20%;ГРАТА ПРОДАКШН;"Филиал ""Корпоративный"" ПАО ""Совкомбанк""";"Обеспечение аудио-видео оборудованием выставочных площадей  Концерна на Международном военно-техническом форуме ""Армия-2020"" , аванс 70% по ДС2 от 30.07.2020 к Договору №05/589 от 25.05.2020 с ООО ""Грата Продакшн"", счет № 33 от 03.08.2020";"аванс 70% за работы по обеспечению выстав. стендов аудио-видео(Армия-2020)по ДС2 от 30.07.2020 к Договору №05/589 от 25.05.2020, счет № 33 от 03.08.2020";ВЭБ.РФ;;Аванс;нет проекта;Проекты не выясненные;663;06.08.2020
05/745/СЗО;06.08.2020;838;04.08.2020;Исполнен;Черевань Е. Э. (ДВЭД);Департамент внешнеэкономической деятельности;05;Платежи по ВТС;"11 419 902,85";RUB;20%;ГРАТА ПРОДАКШН;"Филиал ""Корпоративный"" ПАО ""Совкомбанк""";"Застройка и оборудование стенда в зоне ВПК Концерна на Международном военно-техническом форуме ""Армия-2020"" , аванс 70% по ДС3 от 31.07.2020 к Договору №05/589 от 25.05.2020 с ООО ""Грата Продакшн"", счет № 34 от 03.08.2020";"аванс 70% за СМР выстав. стенда (Армия-2020) по ДС3 от 31.07.2020 к Договору №05/589 от 25.05.2020, счет № 34 от 03.08.2020";ВЭБ.РФ;;Аванс;нет проекта;Проекты не выясненные;664;06.08.2020
05/746/СЗО;06.08.2020;837;04.08.2020;Исполнен;Черевань Е. Э. (ДВЭД);Департамент внешнеэкономической деятельности;05;Платежи по ВТС;"17 286 312,59";RUB;20%;ГРАТА ПРОДАКШН;"Филиал ""Корпоративный"" ПАО ""Совкомбанк""";"Застройка и оборудование шале Концерна на Международном военно-техническом форуме ""Армия-2020"" , аванс 70% по ДС1 от 27.07.2020 к Договору №05/589 от 25.05.2020 с ООО ""Грата Продакшн""";"аванс 70% за изготовление конструкций шале (Армия-2020) по ДС1 от 27.07.2020 к Договору №05/589 от 25.05.2020, сч. №32 от 03.08.2020";ВЭБ.РФ;;Аванс;нет проекта;Проекты не выясненные;662;06.08.2020
;;835;04.08.2020;На согласовании с руководителем СП;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"499 730,00";RUB;20%;ПРОВАЙН;РНКБ БАНК (ПАО);"ООО ""Провайн"" оплата по счету № 73 от 31.07.2020 за сувенирные наборы ""Серебряный"" с символикой концерна";"Оплата по счету № 73 от 31.07.2020 за сувенирные наборы ""Серебряный"" с символикой концерна";;000012952;Аванс;;;;
;;834;04.08.2020;На согласовании с руководителем СП;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"496 800,00";RUB;20%;ПРОВАЙН;РНКБ БАНК (ПАО);"ООО ""Провайн"" оплата по счету № 72 от 31.07.2020 за сувенирные наборы ""Модельный"" с символикой концерна";"Оплата по счету № 72 от 31.07.2020 за сувенирные наборы ""Модельный"" с символикой концерна";;000012950;Аванс;;;;
02/779/СЗО;10.08.2020;833;04.08.2020;Исполнен;Турищев С. В. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;"Платежи по ГОЗ, НИОКР по гражданской тематике";"100 000 000,00";RUB;20%;ТЯЖМАШ;"ПРИВОЛЖСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";"Поставка изделий по договору № 2023187308541412208200328/02/586 от 29.06.2020 г.
";Аванс по договору № 2023187308541412208200328/02/586 от 29.06.2020 года. Счет на оплату № 2327 от 03 августа 2020 г.;"ПАО ""ПРОМСВЯЗЬБАНК""";;Аванс;Нет проекта;М/50_П_6;655;10.08.2020
02/780/СЗО;10.08.2020;832;04.08.2020;Исполнен;Костенко В. Б. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;"Платежи по ГОЗ, НИОКР по гражданской тематике";"26 300 000,00";RUB;20%;ОТМ;"ПРИВОЛЖСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";Поставка изделий по договору № 2023187308541412208200328/02/697 от 22 июля 2020 г.;Аванс по договору № 2023187308541412208200328/02/697 от 22 июля 2020 г. Счет на оплату №311 от 03 августа 2020 г.;"ПАО ""ПРОМСВЯЗЬБАНК""";;Аванс;Нет проекта;М/50_П_6;656;10.08.2020
15/748/СЗО;06.08.2020;831;04.08.2020;Исполнен;Назаров В. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"6 924 400,00";RUB;20%;ФИРМА НИТА;СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК;"Оплата  ООО ""Фирма ""НИТА"" за выполнение работ по инсталляции и сопровождению новой структуры воздушного пространства МЗ ЕС ОрВД в КСТ ""Синтез-ТЦ"" и КДТ ""Эксперт""";окончательный расчет по этапу № 4 договора от 10.07.2019 № 16-19Р за выполнение работ счет № 2007/13/007 от 13.07.2020;БАНК ВТБ (ПАО);000006823;Расчет;Проекта нет;О/ОРВД;6203;06.08.2020
15/757/СЗО;06.08.2020;830;04.08.2020;Исполнен;Назаров В. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"5 126 600,00";RUB;20%;ФИРМА НИТА;"СТ-ПЕТЕРБУРГСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";"Оплата  ООО ""Фирма ""НИТА"" за выполнение работ по мероприятию ""Оснащение комплексным диспетчерским тренажером Тверского центра ОВД";"окончательный расчет по договору от 08.10.2019 № 65-19П за поставку оборудования , передачу прав на использование СПО и за выполнение работ счет № 2006/15/002 от 15.06.2020";БАНК ВТБ (ПАО);000007532;Расчет;Проекта нет;О/ОРВД;6240;07.08.2020
25/740/СЗО;06.08.2020;829;04.08.2020;Исполнен;Кутейников С. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"15 599,97";RUB;20%;МТС;"ПАО ""МТС-БАНК""";ПАО «Мобильные ТелеСистемы» за услуги сотовой радиотелефонной связи (трекинг автомобилей) по договору от 23.12.2000 г. № 206080 за июль 2020 года;"Оплата услуг связи за июль 2020 г. ЛС абонента 277744699692 по договору от 23.12.2000 № 206080, счет № 277744699692/9868876772 от 31.07.2020, 
УИП 027774469969200000000ЛС12
";БАНК ВТБ (ПАО);000012865;Расчет;нет проекта;Проекты не выясненные;6201;06.08.2020
03/753/СЗО;06.08.2020;828;03.08.2020;Исполнен;Кононов А. А. (Казначейство);Казначейство;03;Платежи по ВТС;"60 000,00";RUB;20%;АСТАДИС;ПАО СБЕРБАНК;"Вознаграждение по Дополнительному соглашению  № 2 от 01.12.2018 к Договору от 01.06.2016 № PR/303, по счёту № 8 от 31.07.2020 г.";Оплата по счёту № 8 от 31.07.2020 за оказание услуг в период с 01.07.2020 по 31.07.2020 в соответствии с п.3 Дополнительного соглашения № 2 от 01.12.2018 к Договору от 01.06.2016 № PR/303;БАНК ВТБ (ПАО);не является закупкой;Расчет;нет проекта;А/156/КЛАБ_21;6221;06.08.2020
03/754/СЗО;06.08.2020;827;03.08.2020;Исполнен;Кононов А. А. (Казначейство);Казначейство;03;Платежи по ВТС;"60 000,00";RUB;20%;Энергетические Системы ООО;ВЭБ.РФ;"Вознаграждение по Дополнительному соглашению  № 3 от 06.05.2019 к Договору от 10.09.2015 № ES/302, по счёту № 7 от 31.07.2020";Оплата по счёту № 7 от 31.07.2020 за оказание услуг в период с 01.07.2020 по 31.07.2020 по ДС № 3 от 06.05.2019 к Договору от 10.09.2015 № ES/302;БАНК ВТБ (ПАО);не является закупкой;Расчет;нет проекта;А/156/КЛАБ_21;6222;06.08.2020
02/755/СЗО;06.08.2020;826;03.08.2020;Исполнен;Родионов И. М. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"1 200,00";RUB;20%;МКБ ФАКЕЛ;ПАО СБЕРБАНК;"Вознаграждение за транспортные услуги по договору от 22.02.2018 № АА-012/02-1569, счет №2020-421 от 14.07.2020";"Вознаграждение за транспортные услуги по договору от 22.02.2018 № АА-012/02-1569, счет №2020-421 от 14.07.2020";БАНК ВТБ (ПАО);;Расчет;нет проекта;Р/012/ПМУ;6226;07.08.2020
22/756/СЗО;06.08.2020;825;03.08.2020;Исполнен;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;ДЗП ПВН;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"56 164,46";RUB;0%;ФГКУ СЕВЕРО-КАВКАЗСКОЕ ТУИО МИНОБОРОНЫ РОССИИ;ОТДЕЛЕНИЕ РОСТОВ-НА-ДОНУ;"УФК по Ростовской области (5800, ФГКУ ""Северо-Кавказское ТУИО"" Минобороны России л/сч 04581634400
Аренда помещения за август 2020 по Договору  № 141/3/3/АИ-45 от 10.05.2017 согласно счету № 00000714 от 01.08.2020";Аренда помещения за август 2020 по Договору  № 141/3/3/АИ-45 от 10.05.2017 согласно счету № 00000714 от 01.08.2020;БАНК ВТБ (ПАО);000000000;Аванс;нет проекта;Проекты не выясненные;6223;06.08.2020
25/771/СЗО;06.08.2020;824;03.08.2020;Исполнен;Гордиенко В. И. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"360 000,00";RUB;20%;ИНФОРМЗАЩИТА-СЕРВИС;БАНК ВТБ (ПАО);Оплата оказанных услуг по договору № 25/396 от 28.04.2020г. по счету на оплату № 364/1 от 28.07.2020г. ;Оплата оказанных услуг по договору № 25/396 от 28.04.2020г. по счету на оплату № 364/1 от 28.07.2020г. за техническое сопровождение;БАНК ВТБ (ПАО);000011537;Расчет;нет проекта;Проекты не выясненные;6228;07.08.2020
15/721/СЗО;05.08.2020;823;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"481 758,50";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 8 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 621 от 14.07.2020";"окончательный расчет по этапу 8 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 621 от 14.07.2020";БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6183;05.08.2020
25/699/СЗО;04.08.2020;822;03.08.2020;Исполнен;Сергеев В. В. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"90 025,00";RUB;20%;ЭЛЕКТРОН;ПАО СБЕРБАНК;Закупка МФУ по счету № 43373 от 03.08.2020 г.;Закупка МФУ по счету № 43373 от 03.08.2020 г.;БАНК ВТБ (ПАО);000012936;Аванс;нет проекта;Проекты не выясненные;6118;04.08.2020
15/744/СЗО;06.08.2020;821;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"3 105 627,41";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 8 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 620 от 14.07.2020;окончательный расчет по этапу 8 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 620 от 14.07.2020;БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6205;06.08.2020
15/719/СЗО;05.08.2020;820;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"3 105 627,41";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 7 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 587 от 09.07.2020;окончательный расчет по этапу 7 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 587 от 09.07.2020;БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6172;05.08.2020
14/722/СЗО;05.08.2020;819;03.08.2020;Исполнен;Инкин А. А. (ДПТП);Департамент производственно-технологической политики;14;"Платежи по выдаче/погашению займов/кредитов, спонсорской поддержке и благотворительности, выплаты по договорам финансирования";"27 699 649,68";RUB;Без НДС;НИТИ ИМ. П.И. СНЕГИРЕВА;ПАО СБЕРБАНК;Платеж по договору беспроцентного займа от 28.09.2017 № 14/1054з на оплату СМР.;"Транш по договору беспроцентного займа от 28.09.2017 № 14/1054з на оплату СМР, НДС не облагается.";БАНК ВТБ (ПАО);;Аванс;проекта нет ;ЗАЙМ_10;6164;05.08.2020
15/747/СЗО;06.08.2020;818;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"578 513,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 5 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 617 от 14.07.2020";"окончательный расчет по этапу 5 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 617 от 14.07.2020";БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6207;06.08.2020
15/718/СЗО;05.08.2020;817;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"3 878 838,79";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 5 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 616 от 14.07.2020;окончательный расчет по этапу 5 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 616 от 14.07.2020;БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6168;05.08.2020
15/717/СЗО;05.08.2020;816;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"299 857,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 4 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 623 от 16.07.2020";"окончательный расчет по этапу 4 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 623 от 16.07.2020";БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6186;05.08.2020
15/743/СЗО;06.08.2020;815;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"773 211,37";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 4 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 624 от 16.07.2020;окончательный расчет по этапу 4 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 624 от 16.07.2020;БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6206;06.08.2020
15/716/СЗО;05.08.2020;814;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"481 758,50";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 2 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 570 от 09.07.2020";"окончательный расчет по этапу 2 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 570 от 09.07.2020";БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6185;05.08.2020
02/750/СЗО;06.08.2020;813;03.08.2020;Исполнен;Савицкая Е. И. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"2 178 368,12";USD;20%;ЗРТО;"СТ-ПЕТЕРБУРГСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";"АО ""ЗРТО"" на изготовление и поставку продукции, по договору № АА-012/02-2058 от 03.03.2020 г., счет на оплату № 7993 от 22.07.2020 г.";"Третий авансовый платеж на изготовление и поставку продукции по договору № АА-012/02-2058 от 03.03.2020 г. (п. 6.4.3), счет на оплату № 7993 от 22.07.2020 г.";БАНК ВТБ (ПАО);;Аванс;нет проекта;Р/012/ЗРК;6209;06.08.2020
15/729/СЗО;05.08.2020;812;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"3 105 627,41";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 2 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 569 от 09.07.2020;окончательный расчет по этапу 2 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 569 от 09.07.2020;БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6169;05.08.2020
04/787/СЗО;10.08.2020;811;03.08.2020;Исполнен;Грызин Н. Н. (ПС);Пресс-служба;04;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"400 000,00";RUB;20%;ИНФОРМАЦИОННОЕ АГЕНТСТВО ИНТЕРФАКС;БАНК ВТБ (ПАО); Расчет за комплексное информационное обслуживание в период с 01.07.2020 г. по 31.07.2020 г.по договору №04/1494 от 28.10.2019г.;Расчет по счету №7139-20/07 от 31.07.2020г. за комплексное информационное обслуживание в период с 01.07.2020 г. по 31.07.2020 г.по договору №04/1494 от 28.10.2019г.;БАНК ВТБ (ПАО);000007818;Расчет;нет проекта;Проекты не выясненные;6385;10.08.2020
15/734/СЗО;05.08.2020;810;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 071 150,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 1 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 615 от 14.07.2020";"окончательный расчет по этапу 1 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 615 от 14.07.2020";БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6179;05.08.2020
15/735/СЗО;05.08.2020;809;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"6 219 192,30";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 1 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 614 от 14.07.2020;окончательный расчет по этапу 1 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 614 от 14.07.2020;БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6166;05.08.2020
15/720/СЗО;05.08.2020;808;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"481 758,50";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 7 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 588 от 09.07.2020";"окончательный расчет по этапу 7 (проведение МиПНР, инструктаж персонала, участие в ПСИ) договора № 15/408 от 20.08.2019 согласно счета № 588 от 09.07.2020";БАНК ВТБ (ПАО);000006968;Расчет;Проекта нет;О/ОРВД;6184;05.08.2020
15/732/СЗО;05.08.2020;807;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 573 572,81";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 16.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 465 от 03.06.2020;окончательный расчет по этапу 16.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 465 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6175;05.08.2020
15/731/СЗО;05.08.2020;806;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"192 986,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 10.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 439 от 03.06.2020;окончательный расчет по этапу 10.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 439 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6187;05.08.2020
15/730/СЗО;05.08.2020;805;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 573 572,82";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 10.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 438 от 03.06.2020;окончательный расчет по этапу 10.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 438 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6174;05.08.2020
15/728/СЗО;05.08.2020;804;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"166 192,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 8.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 437 от 03.06.2020;окончательный расчет по этапу 8.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 437 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6188;05.08.2020
15/725/СЗО;05.08.2020;803;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"840 192,58";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 8.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 436 от 03.06.2020;окончательный расчет по этапу 8.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 436 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6181;05.08.2020
15/727/СЗО;05.08.2020;802;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"166 192,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 7.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 435 от 03.06.2020;окончательный расчет по этапу 7.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 435 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6189;05.08.2020
15/726/СЗО;05.08.2020;801;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"840 192,58";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 7.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 434 от 03.06.2020;окончательный расчет по этапу 7.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 434 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6180;05.08.2020
